age,workclass,fnlwgt,occupation,relationship,education,education_num,marital_status,race,sex,capital_gain,capital_loss,hours_per_week,country,salary
44, Local-gov,433705, Protective-serv, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,52, United-States, >50K
52, Private,128272, Sales, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,14, United-States, <=50K
46, Private,117849, Sales, Husband, Some-college,10, Married-civ-spouse, White, Male,15024,0,40, United-States, >50K
32, Federal-gov,44777, Machine-op-inspct, Not-in-family, HS-grad,9, Separated, Black, Male,0,0,46, United-States, <=50K
23, Private,183358, Craft-repair, Not-in-family, HS-grad,9, Never-married, White, Male,0,0,40, Puerto-Rico, <=50K
31, Private,237824, Priv-house-serv, Other-relative, HS-grad,9, Married-spouse-absent, Black, Female,0,0,60, Jamaica, <=50K
40, Private,136986, Machine-op-inspct, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,50, United-States, >50K
23, Private,174413, Exec-managerial, Not-in-family, Bachelors,13, Never-married, White, Female,0,0,40, United-States, <=50K
62, Private,319582, Sales, Not-in-family, HS-grad,9, Widowed, White, Female,0,0,32, United-States, <=50K
50, Private,138358, Adm-clerical, Not-in-family, 10th,6, Separated, Black, Female,0,0,47, Jamaica, <=50K
24, Private,187551, Adm-clerical, Own-child, Some-college,10, Never-married, Black, Female,0,0,20, United-States, <=50K
54, Federal-gov,21698, Exec-managerial, Unmarried, Bachelors,13, Divorced, White, Female,0,0,40, United-States, <=50K
50, State-gov,54709, Adm-clerical, Unmarried, HS-grad,9, Divorced, White, Female,0,0,46, United-States, <=50K
35, Private,206951, Sales, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
24, Self-emp-not-inc,81145, Other-service, Not-in-family, Some-college,10, Never-married, White, Female,0,0,75, United-States, <=50K
23, Private,213955, Adm-clerical, Own-child, HS-grad,9, Never-married, Black, Male,0,2001,40, United-States, <=50K
33, Private,247205, Protective-serv, Husband, Bachelors,13, Married-civ-spouse, Black, Male,0,0,40, England, <=50K
35, Private,188888, Sales, Not-in-family, Bachelors,13, Never-married, White, Male,0,0,40, United-States, >50K
48, Private,212120, Machine-op-inspct, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
32, Private,172415, Other-service, Unmarried, HS-grad,9, Never-married, Black, Female,0,0,40, United-States, <=50K
28, Private,246974, Other-service, Not-in-family, HS-grad,9, Never-married, White, Male,0,0,40, United-States, <=50K
23, Private,302195, Prof-specialty, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
39, Private,52645, Sales, Unmarried, Some-college,10, Divorced, White, Female,0,0,40, United-States, <=50K
50, Private,172052, Prof-specialty, Husband, HS-grad,9, Married-civ-spouse, Asian-Pac-Islander, Male,0,0,35, South, >50K
47, Private,168211, Craft-repair, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,44, United-States, <=50K
25, Local-gov,222800, Prof-specialty, Not-in-family, Bachelors,13, Never-married, White, Male,0,0,40, United-States, <=50K
50, Private,30447, Transport-moving, Husband, Assoc-voc,11, Married-civ-spouse, White, Male,0,0,45, United-States, <=50K
37, Private,111499, Exec-managerial, Not-in-family, Some-college,10, Never-married, White, Female,0,0,40, United-States, <=50K
24, Private,182163, Adm-clerical, Not-in-family, 11th,7, Never-married, White, Female,0,0,40, Germany, <=50K
53, ?,251804, ?, Unmarried, 5th-6th,3, Widowed, Black, Female,0,0,30, United-States, <=50K
17, Private,63734, Handlers-cleaners, Own-child, 10th,6, Never-married, White, Male,0,0,20, United-States, <=50K
54, Federal-gov,114674, Exec-managerial, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
17, Private,118792, Sales, Own-child, 11th,7, Never-married, White, Female,0,0,9, United-States, <=50K
37, Private,190987, Sales, Wife, Some-college,10, Married-civ-spouse, White, Female,7298,0,40, United-States, >50K
48, Private,227714, Sales, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,60, United-States, <=50K
24, Private,190293, Prof-specialty, Not-in-family, Bachelors,13, Never-married, White, Female,0,0,40, United-States, <=50K
25, Private,28473, Craft-repair, Husband, Assoc-voc,11, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
31, Private,87950, Sales, Not-in-family, Assoc-voc,11, Divorced, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
63, Private,298113, Other-service, Not-in-family, Some-college,10, Divorced, White, Male,0,0,40, United-States, <=50K
41, Private,163322, Exec-managerial, Unmarried, 11th,7, Divorced, White, Female,0,0,36, United-States, <=50K
43, Private,148998, Adm-clerical, Unmarried, HS-grad,9, Divorced, White, Female,0,0,40, United-States, <=50K
53, Private,126386, Machine-op-inspct, Own-child, HS-grad,9, Divorced, White, Male,0,0,40, United-States, <=50K
57, Private,20953, Sales, Husband, Some-college,10, Married-civ-spouse, White, Male,0,1902,40, United-States, >50K
42, Private,364832, Sales, Not-in-family, 7th-8th,4, Divorced, White, Female,0,0,40, United-States, <=50K
42, Private,27444, Prof-specialty, Not-in-family, Some-college,10, Married-spouse-absent, White, Male,0,0,40, United-States, >50K
29, Private,286452, Sales, Unmarried, Assoc-acdm,12, Divorced, White, Female,3418,0,40, United-States, <=50K
49, Private,204057, Exec-managerial, Not-in-family, Assoc-acdm,12, Divorced, White, Female,0,0,40, United-States, <=50K
55, State-gov,146326, Prof-specialty, Husband, Masters,14, Married-civ-spouse, White, Male,7688,0,45, United-States, >50K
20, ?,114357, ?, Not-in-family, Some-college,10, Never-married, White, Male,0,0,40, United-States, <=50K
33, Private,405913, Prof-specialty, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,40, Peru, >50K
50, Private,302372, Prof-specialty, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
34, State-gov,366198, Prof-specialty, Husband, Doctorate,16, Married-civ-spouse, White, Male,0,0,45, Germany, >50K
29, Private,118337, Transport-moving, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,60, United-States, <=50K
26, Private,206600, Other-service, Other-relative, 11th,7, Never-married, White, Male,0,0,30, Mexico, <=50K
19, Private,178811, Machine-op-inspct, Own-child, HS-grad,9, Never-married, Black, Female,0,0,40, United-States, <=50K
57, Local-gov,339163, Adm-clerical, Unmarried, Some-college,10, Widowed, White, Female,0,0,40, Mexico, <=50K
43, Private,235556, Sales, Not-in-family, Some-college,10, Married-spouse-absent, White, Male,0,0,45, Mexico, <=50K
57, Self-emp-not-inc,65080, Craft-repair, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,50, United-States, >50K
35, Private,141896, Craft-repair, Husband, 12th,8, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
20, Private,308239, Other-service, Own-child, Some-college,10, Never-married, White, Male,0,0,16, United-States, <=50K
35, Private,174308, Transport-moving, Own-child, Some-college,10, Never-married, White, Male,0,0,40, United-States, <=50K
72, ?,402306, ?, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,32, Canada, <=50K
31, Private,163516, Adm-clerical, Unmarried, Some-college,10, Widowed, White, Female,0,0,40, United-States, <=50K
44, Private,336513, Prof-specialty, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,45, United-States, <=50K
62, Self-emp-not-inc,71467, Craft-repair, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,55, United-States, >50K
39, Private,108140, Exec-managerial, Husband, Masters,14, Married-civ-spouse, White, Male,0,0,50, United-States, >50K
26, Private,213258, Craft-repair, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
19, Private,242941, Sales, Own-child, Some-college,10, Never-married, White, Female,0,1602,10, United-States, <=50K
22, Private,138504, Adm-clerical, Unmarried, Some-college,10, Never-married, Black, Female,0,0,30, United-States, <=50K
51, Private,168660, Handlers-cleaners, Husband, 11th,7, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
33, Private,232475, Sales, Own-child, Some-college,10, Never-married, White, Male,0,0,45, United-States, <=50K
48, Private,156926, Adm-clerical, Not-in-family, Bachelors,13, Divorced, White, Male,0,0,40, United-States, <=50K
27, Private,132686, Machine-op-inspct, Own-child, 12th,8, Never-married, White, Male,0,0,50, United-States, <=50K
21, Private,231573, Other-service, Not-in-family, Some-college,10, Never-married, White, Female,0,0,40, United-States, <=50K
23, Private,117789, Adm-clerical, Own-child, Bachelors,13, Never-married, White, Female,0,0,40, United-States, <=50K
36, Private,250791, Handlers-cleaners, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,48, United-States, <=50K
57, Private,120302, Machine-op-inspct, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
44, Private,376072, Tech-support, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,45, United-States, >50K
40, Private,70761, Tech-support, Not-in-family, Assoc-acdm,12, Never-married, Black, Male,0,0,40, United-States, <=50K
18, Private,188076, Other-service, Own-child, 11th,7, Never-married, White, Female,0,0,20, United-States, <=50K
39, Private,509060, Other-service, Not-in-family, Some-college,10, Divorced, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc,199753, Other-service, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,60, United-States, <=50K
20, Private,56322, Other-service, Own-child, Some-college,10, Never-married, White, Male,2176,0,25, United-States, <=50K
17, Private,53611, Other-service, Own-child, 12th,8, Never-married, White, Female,0,0,6, United-States, <=50K
62, Federal-gov,159165, Exec-managerial, Not-in-family, HS-grad,9, Widowed, White, Female,0,0,36, United-States, <=50K
53, Private,283743, Transport-moving, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,2002,40, United-States, <=50K
45, State-gov,101299, Prof-specialty, Husband, Doctorate,16, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
40, Local-gov,27444, Prof-specialty, Not-in-family, Bachelors,13, Never-married, White, Male,0,0,50, United-States, >50K
32, Private,186824, Craft-repair, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
29, Federal-gov,182344, Other-service, Unmarried, HS-grad,9, Married-spouse-absent, Black, Male,0,0,40, United-States, <=50K
58, Private,111625, Exec-managerial, Unmarried, Bachelors,13, Widowed, White, Male,8614,0,40, United-States, >50K
32, Private,167106, Sales, Husband, HS-grad,9, Married-civ-spouse, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
37, Private,123211, Other-service, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,44, United-States, >50K
25, Private,198632, Sales, Not-in-family, Some-college,10, Married-spouse-absent, White, Male,0,0,50, United-States, <=50K
44, Private,173704, Exec-managerial, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
30, Private,165686, Other-service, Not-in-family, Bachelors,13, Never-married, White, Female,0,0,40, United-States, <=50K
27, Private,194472, Priv-house-serv, Not-in-family, HS-grad,9, Never-married, White, Female,0,0,60, United-States, <=50K
37, Private,135436, Exec-managerial, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,1977,60, United-States, >50K
62, ?,160155, ?, Husband, 7th-8th,4, Married-civ-spouse, White, Male,6418,0,40, United-States, >50K
36, Private,220696, Machine-op-inspct, Not-in-family, HS-grad,9, Divorced, White, Male,0,0,40, United-States, <=50K
49, Self-emp-inc,229737, Prof-specialty, Husband, Prof-school,15, Married-civ-spouse, White, Male,99999,0,37, United-States, >50K
34, Private,506858, Craft-repair, Husband, Assoc-voc,11, Married-civ-spouse, White, Male,0,0,32, United-States, >50K
56, Private,98418, Transport-moving, Not-in-family, HS-grad,9, Divorced, White, Male,0,0,30, United-States, <=50K
47, Private,246739, Exec-managerial, Husband, Bachelors,13, Married-civ-spouse, White, Male,99999,0,55, United-States, >50K
36, Self-emp-not-inc,405644, Craft-repair, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,35, Mexico, <=50K
36, Private,186415, Handlers-cleaners, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,65, United-States, <=50K
34, Local-gov,97723, Prof-specialty, Husband, Prof-school,15, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
34, Private,277314, Sales, Husband, Assoc-acdm,12, Married-civ-spouse, Black, Male,0,1902,50, United-States, >50K
60, Local-gov,259803, Prof-specialty, Wife, Bachelors,13, Married-civ-spouse, White, Female,0,0,45, United-States, >50K
39, Private,421633, Protective-serv, Unmarried, Some-college,10, Divorced, Black, Female,0,0,30, United-States, <=50K
56, Private,204049, Sales, Husband, Some-college,10, Married-civ-spouse, White, Male,0,1848,50, United-States, >50K
64, Self-emp-inc,179436, Exec-managerial, Husband, Bachelors,13, Married-civ-spouse, White, Male,15024,0,55, United-States, >50K
25, Private,67467, Tech-support, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
38, Private,172571, Craft-repair, Own-child, Some-college,10, Divorced, White, Male,0,0,58, Poland, <=50K
37, Self-emp-not-inc,241998, Prof-specialty, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,5, United-States, >50K
18, Private,198614, Sales, Own-child, 11th,7, Never-married, Black, Female,0,0,8, United-States, <=50K
35, Private,138441, Handlers-cleaners, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,35, United-States, <=50K
39, Federal-gov,255407, Craft-repair, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
17, Private,57723, Sales, Own-child, 11th,7, Never-married, White, Male,0,0,30, United-States, <=50K
20, ?,194096, ?, Own-child, Some-college,10, Never-married, White, Female,0,0,40, United-States, <=50K
82, ?,52921, ?, Not-in-family, Some-college,10, Widowed, Amer-Indian-Eskimo, Male,0,0,3, United-States, <=50K
62, Self-emp-inc,118725, Exec-managerial, Husband, HS-grad,9, Married-civ-spouse, Black, Male,20051,0,72, United-States, >50K
33, Private,240763, Machine-op-inspct, Husband, Some-college,10, Married-civ-spouse, Black, Male,0,0,40, United-States, <=50K
37, Private,434097, Craft-repair, Not-in-family, Assoc-acdm,12, Divorced, Black, Male,0,0,40, United-States, <=50K
49, Private,186078, Prof-specialty, Wife, Masters,14, Married-civ-spouse, White, Female,0,0,50, United-States, >50K
35, Private,216473, Adm-clerical, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,50, United-States, >50K
28, Private,224506, Sales, Husband, Some-college,10, Married-civ-spouse, Black, Male,0,0,40, ?, <=50K
47, Self-emp-not-inc,119199, Adm-clerical, Wife, Some-college,10, Married-civ-spouse, White, Female,0,0,35, United-States, >50K
51, Local-gov,154891, Protective-serv, Unmarried, HS-grad,9, Divorced, White, Male,0,0,52, United-States, <=50K
24, State-gov,61737, Prof-specialty, Not-in-family, Bachelors,13, Never-married, White, Male,0,0,40, United-States, <=50K
23, Private,164231, Prof-specialty, Own-child, 11th,7, Separated, White, Male,0,0,35, United-States, <=50K
35, State-gov,119421, Exec-managerial, Wife, Bachelors,13, Married-civ-spouse, White, Female,0,0,35, United-States, >50K
62, Private,252668, Prof-specialty, Not-in-family, Masters,14, Never-married, White, Male,0,0,70, United-States, <=50K
54, Self-emp-not-inc,46704, Farming-fishing, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,60, United-States, >50K
43, Private,187322, Craft-repair, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
31, Private,407930, Handlers-cleaners, Husband, 7th-8th,4, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
51, Private,173291, Other-service, Not-in-family, HS-grad,9, Divorced, White, Female,0,0,40, United-States, <=50K
56, Private,169133, Other-service, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,50, Yugoslavia, <=50K
29, Private,112847, Craft-repair, Husband, Assoc-voc,11, Married-civ-spouse, Asian-Pac-Islander, Male,7298,0,32, United-States, >50K
90, Private,40388, Exec-managerial, Not-in-family, Bachelors,13, Never-married, White, Male,0,0,55, United-States, <=50K
40, State-gov,140108, Machine-op-inspct, Not-in-family, 9th,5, Separated, Black, Male,0,0,40, United-States, <=50K
42, Private,155972, Handlers-cleaners, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
52, Private,178915, Exec-managerial, Unmarried, HS-grad,9, Never-married, White, Female,0,0,40, United-States, <=50K
39, Private,243409, Exec-managerial, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,60, United-States, >50K
37, Private,256723, Adm-clerical, Unmarried, Some-college,10, Divorced, Black, Female,0,0,35, United-States, <=50K
23, Private,565313, Other-service, Own-child, Some-college,10, Never-married, Black, Male,2202,0,80, United-States, <=50K
24, Private,217602, Farming-fishing, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,60, United-States, <=50K
30, Private,196385, Prof-specialty, Husband, Bachelors,13, Married-civ-spouse, White, Male,15024,0,35, United-States, >50K
36, State-gov,212143, Adm-clerical, Wife, Bachelors,13, Married-civ-spouse, White, Female,0,0,20, United-States, >50K
37, Private,387430, Adm-clerical, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,37, United-States, <=50K
18, ?,113185, ?, Own-child, 11th,7, Never-married, White, Male,0,0,25, United-States, <=50K
35, Local-gov,116960, Prof-specialty, Husband, Masters,14, Married-civ-spouse, White, Male,0,1887,40, United-States, >50K
27, Private,21856, Craft-repair, Not-in-family, Some-college,10, Never-married, Black, Male,0,0,40, United-States, <=50K
34, Private,177733, Machine-op-inspct, Unmarried, 9th,5, Separated, White, Female,0,0,35, Dominican-Republic, <=50K
50, Local-gov,24139, Prof-specialty, Unmarried, Masters,14, Divorced, White, Female,0,0,65, United-States, <=50K
17, Private,111332, Sales, Own-child, 11th,7, Never-married, White, Female,0,0,20, United-States, <=50K
35, Private,186126, Prof-specialty, Husband, Masters,14, Married-civ-spouse, White, Male,0,0,38, ?, <=50K
40, Private,240027, Sales, Unmarried, Some-college,10, Never-married, Black, Female,0,0,45, United-States, <=50K
53, Private,479621, Tech-support, Not-in-family, Assoc-voc,11, Divorced, Black, Male,0,0,40, United-States, <=50K
27, Local-gov,151626, Prof-specialty, Own-child, HS-grad,9, Never-married, Black, Female,0,0,40, United-States, <=50K
36, Local-gov,191161, Protective-serv, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,57, United-States, >50K
33, Private,133503, Protective-serv, Husband, HS-grad,9, Married-civ-spouse, White, Male,2635,0,16, United-States, <=50K
35, Private,337286, Exec-managerial, Not-in-family, Masters,14, Never-married, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
55, Private,23789, Exec-managerial, Not-in-family, HS-grad,9, Divorced, White, Female,0,0,40, United-States, <=50K
18, Private,192583, Sales, Not-in-family, Some-college,10, Never-married, White, Female,0,0,30, United-States, <=50K
24, Private,498349, Transport-moving, Unmarried, Bachelors,13, Never-married, Black, Female,0,0,40, United-States, <=50K
26, Private,163747, Sales, Not-in-family, Bachelors,13, Never-married, White, Female,0,0,55, United-States, <=50K
32, Private,33678, Transport-moving, Husband, Some-college,10, Married-civ-spouse, White, Male,0,0,50, United-States, >50K
35, Private,61518, Exec-managerial, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,35, United-States, <=50K
35, Private,239409, Machine-op-inspct, Husband, 10th,6, Married-civ-spouse, White, Male,0,0,50, United-States, <=50K
56, Self-emp-not-inc,144380, Prof-specialty, Not-in-family, Some-college,10, Married-spouse-absent, Black, Male,0,0,50, United-States, <=50K
37, Federal-gov,197284, Adm-clerical, Own-child, Some-college,10, Never-married, White, Male,0,0,40, United-States, <=50K
33, Private,97521, Adm-clerical, Own-child, HS-grad,9, Never-married, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc,195835, Craft-repair, Not-in-family, Some-college,10, Divorced, White, Male,0,0,45, United-States, <=50K
43, Private,27766, Exec-managerial, Unmarried, Bachelors,13, Separated, White, Male,0,0,60, United-States, >50K
44, Private,45093, Farming-fishing, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,70, United-States, <=50K
54, Federal-gov,230387, Adm-clerical, Unmarried, HS-grad,9, Widowed, White, Female,0,0,35, United-States, <=50K
48, Private,108699, Adm-clerical, Not-in-family, HS-grad,9, Never-married, White, Female,0,0,40, United-States, <=50K
52, Private,200853, Prof-specialty, Not-in-family, Masters,14, Divorced, White, Female,6849,0,60, United-States, <=50K
37, Private,294919, Transport-moving, Not-in-family, Some-college,10, Divorced, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc,179704, Exec-managerial, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,45, United-States, >50K
19, ?,369678, ?, Not-in-family, HS-grad,9, Never-married, Other, Male,0,0,30, United-States, <=50K
36, Private,265881, Machine-op-inspct, Unmarried, HS-grad,9, Divorced, White, Female,0,0,40, United-States, <=50K
35, Private,207066, Sales, Not-in-family, Bachelors,13, Never-married, White, Male,10520,0,45, United-States, >50K
36, Self-emp-inc,213008, Exec-managerial, Husband, Assoc-acdm,12, Married-civ-spouse, White, Male,0,0,40, United-States, >50K
36, Private,91275, Adm-clerical, Unmarried, Some-college,10, Never-married, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, State-gov,147719, Prof-specialty, Not-in-family, Masters,14, Never-married, Asian-Pac-Islander, Male,0,0,20, India, <=50K
22, Private,214399, Sales, Own-child, Some-college,10, Never-married, White, Female,0,0,15, United-States, <=50K
41, Private,49156, Craft-repair, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
52, Private,61735, Other-service, Husband, 11th,7, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc,151089, Sales, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,50, United-States, <=50K
52, Federal-gov,221532, Protective-serv, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,45, United-States, >50K
48, Private,246891, Sales, Unmarried, Some-college,10, Widowed, White, Male,0,0,50, United-States, >50K
24, Private,381895, Machine-op-inspct, Unmarried, 11th,7, Divorced, White, Female,0,0,40, United-States, <=50K
21, Private,116788, Craft-repair, Own-child, HS-grad,9, Never-married, White, Male,0,0,40, United-States, <=50K
66, Private,151793, Other-service, Not-in-family, 7th-8th,4, Widowed, Black, Female,0,0,10, United-States, <=50K
26, Private,164938, Sales, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
26, Private,336404, Protective-serv, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
44, Federal-gov,218062, Adm-clerical, Unmarried, Some-college,10, Divorced, Black, Female,0,0,40, United-States, <=50K
40, Local-gov,39581, Prof-specialty, Own-child, Prof-school,15, Separated, Black, Female,0,0,40, United-States, <=50K
25, Private,184698, Machine-op-inspct, Not-in-family, 10th,6, Never-married, White, Male,0,0,40, Dominican-Republic, <=50K
41, ?,77937, ?, Not-in-family, 12th,8, Divorced, White, Female,0,0,40, Canada, <=50K
19, Private,101509, Prof-specialty, Own-child, Some-college,10, Never-married, White, Male,0,0,32, United-States, <=50K
28, Private,33374, Other-service, Unmarried, 11th,7, Married-spouse-absent, White, Female,0,0,35, United-States, <=50K
38, Private,229015, Exec-managerial, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,50, United-States, >50K
65, Private,113323, Exec-managerial, Husband, Assoc-acdm,12, Married-civ-spouse, White, Male,3818,0,40, United-States, <=50K
21, Private,140764, Adm-clerical, Other-relative, HS-grad,9, Never-married, White, Female,0,0,45, United-States, <=50K
25, State-gov,328697, Protective-serv, Other-relative, Some-college,10, Divorced, White, Male,0,0,45, United-States, <=50K
64, ?,140237, ?, Husband, Preschool,1, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
66, ?,182378, ?, Husband, 7th-8th,4, Married-civ-spouse, White, Male,0,0,30, United-States, <=50K
58, Private,127264, Craft-repair, Husband, 10th,6, Married-civ-spouse, White, Male,0,0,50, United-States, <=50K
32, Private,198068, Craft-repair, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
30, Private,170154, Tech-support, Not-in-family, Bachelors,13, Never-married, White, Female,0,0,40, United-States, >50K
72, ?,28929, ?, Not-in-family, 11th,7, Widowed, White, Female,0,0,24, United-States, <=50K
59, Self-emp-not-inc,83542, Tech-support, Not-in-family, Assoc-acdm,12, Divorced, White, Male,0,0,40, United-States, <=50K
74, Private,84197, Sales, Not-in-family, Masters,14, Divorced, White, Female,0,0,10, United-States, <=50K
36, Private,162312, Craft-repair, Not-in-family, HS-grad,9, Never-married, Asian-Pac-Islander, Male,0,0,70, South, <=50K
46, Private,176814, Prof-specialty, Husband, Prof-school,15, Married-civ-spouse, White, Male,99999,0,50, United-States, >50K
66, Private,167711, Sales, Not-in-family, HS-grad,9, Widowed, White, Female,0,0,40, United-States, >50K
25, Federal-gov,339956, Protective-serv, Husband, Some-college,10, Married-civ-spouse, Black, Male,0,0,40, United-States, <=50K
37, Private,193689, Machine-op-inspct, Husband, Assoc-voc,11, Married-civ-spouse, White, Male,0,0,42, United-States, >50K
44, Private,104196, Prof-specialty, Husband, Masters,14, Married-civ-spouse, White, Male,0,0,45, United-States, >50K
23, Private,116830, Craft-repair, Not-in-family, 12th,8, Never-married, White, Male,0,0,50, United-States, <=50K
32, Federal-gov,454508, Exec-managerial, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
